unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
"100654","1","999",10,"148",10,"149",10,"2727",10,"3435",10,"4",10,"8",10,"9",10,"18",10,"17",10,"13",10,"171",10,"376",10,"2",10,"1",10,"3078",10,"4000",10,"297",10,"6162",10,"12",10,"27",10,"30",10,"547",10,"3",10,"7078"
"100654","2","1",10,"78",10,"90",10,"2483",10,"2753",10,"4",10,"4",10,"3",10,"6",10,"13",10,"9",10,"64",10,"85",13,"0",13,"0",10,"2645",10,"2947",10,"168",10,"5236",10,"8",10,"9",10,"22",10,"149",13,"0",10,"5592"
"100654","4","3",10,"70",10,"59",10,"244",10,"682",13,"0",10,"4",10,"6",10,"12",10,"4",10,"4",10,"107",10,"291",10,"2",10,"1",10,"433",10,"1053",10,"129",10,"926",10,"4",10,"18",10,"8",10,"398",10,"3",10,"1486"
"100663","1","999",10,"648",10,"481",10,"1428",10,"3813",10,"43",10,"56",10,"322",10,"402",10,"90",10,"155",10,"5294",10,"7060",10,"172",10,"216",10,"7997",10,"12183",10,"1129",10,"5241",10,"99",10,"724",10,"245",10,"12354",10,"388",10,"20180"
"100663","2","1",10,"184",10,"167",10,"1230",10,"3086",10,"28",10,"32",10,"194",10,"267",10,"58",10,"105",10,"3680",10,"4498",10,"142",10,"175",10,"5516",10,"8330",10,"351",10,"4316",10,"60",10,"461",10,"163",10,"8178",10,"317",10,"13846"
"100663","3","2",10,"1",13,"0",10,"19",10,"51",10,"5",10,"4",10,"46",10,"53",10,"5",10,"7",10,"472",10,"323",10,"5",10,"4",10,"553",10,"442",10,"1",10,"70",10,"9",10,"99",10,"12",10,"795",10,"9",10,"995"
"100663","4","3",10,"463",10,"314",10,"179",10,"676",10,"10",10,"20",10,"82",10,"82",10,"27",10,"43",10,"1142",10,"2239",10,"25",10,"37",10,"1928",10,"3411",10,"777",10,"855",10,"30",10,"164",10,"70",10,"3381",10,"62",10,"5339"
"100690","1","999",13,"0",13,"0",10,"148",10,"191",13,"0",10,"1",10,"3",10,"1",10,"12",10,"19",10,"336",10,"258",10,"37",10,"44",10,"536",10,"514",13,"0",10,"339",10,"1",10,"4",10,"31",10,"594",10,"81",10,"1050"
"100690","2","1",13,"0",13,"0",10,"76",10,"92",13,"0",13,"0",10,"1",13,"0",10,"9",10,"12",10,"176",10,"149",10,"26",10,"20",10,"288",10,"273",13,"0",10,"168",13,"0",10,"1",10,"21",10,"325",10,"46",10,"561"
"100690","3","2",13,"0",13,"0",10,"32",10,"13",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"34",10,"4",10,"3",10,"2",10,"70",10,"19",13,"0",10,"45",13,"0",10,"1",13,"0",10,"38",10,"5",10,"89"
"100690","4","3",13,"0",13,"0",10,"40",10,"86",13,"0",10,"1",10,"1",10,"1",10,"3",10,"7",10,"126",10,"105",10,"8",10,"22",10,"178",10,"222",13,"0",10,"126",10,"1",10,"2",10,"10",10,"231",10,"30",10,"400"
"100706","1","999",10,"356",10,"136",10,"384",10,"719",10,"43",10,"57",10,"154",10,"137",10,"79",10,"83",10,"3416",10,"2752",10,"54",10,"53",10,"4486",10,"3937",10,"492",10,"1103",10,"100",10,"291",10,"162",10,"6168",10,"107",10,"8423"
"100706","2","1",10,"164",10,"55",10,"333",10,"646",10,"36",10,"45",10,"123",10,"115",10,"68",10,"73",10,"2654",10,"2307",10,"44",10,"44",10,"3422",10,"3285",10,"219",10,"979",10,"81",10,"238",10,"141",10,"4961",10,"88",10,"6707"
"100706","4","3",10,"192",10,"81",10,"51",10,"73",10,"7",10,"12",10,"31",10,"22",10,"11",10,"10",10,"762",10,"445",10,"10",10,"9",10,"1064",10,"652",10,"273",10,"124",10,"19",10,"53",10,"21",10,"1207",10,"19",10,"1716"
"100724","1","999",10,"4",10,"26",10,"2303",10,"3869",10,"1",10,"2",10,"2",10,"10",10,"3",10,"12",10,"168",10,"241",10,"7",10,"5",10,"2488",10,"4165",10,"30",10,"6172",10,"3",10,"12",10,"15",10,"409",10,"12",10,"6653"
"100724","2","1",10,"2",10,"18",10,"2007",10,"2977",13,"0",10,"2",10,"1",10,"5",10,"1",10,"7",10,"75",10,"87",10,"7",10,"4",10,"2093",10,"3100",10,"20",10,"4984",10,"2",10,"6",10,"8",10,"162",10,"11",10,"5193"
"100724","4","3",10,"2",10,"8",10,"296",10,"892",10,"1",13,"0",10,"1",10,"5",10,"2",10,"5",10,"93",10,"154",13,"0",10,"1",10,"395",10,"1065",10,"10",10,"1188",10,"1",10,"6",10,"7",10,"247",10,"1",10,"1460"
"100751","1","999",10,"600",10,"511",10,"1106",10,"1978",10,"83",10,"86",10,"115",10,"124",10,"186",10,"204",10,"9416",10,"8350",10,"119",10,"2217",10,"11625",10,"13470",10,"1111",10,"3084",10,"169",10,"239",10,"390",10,"17766",10,"2336",10,"25095"
"100751","2","1",10,"260",10,"263",10,"941",10,"1534",10,"66",10,"69",10,"94",10,"100",10,"157",10,"149",10,"7763",10,"8154",10,"92",10,"115",10,"9373",10,"10384",10,"523",10,"2475",10,"135",10,"194",10,"306",10,"15917",10,"207",10,"19757"
"100751","3","2",10,"4",10,"4",10,"17",10,"26",10,"7",13,"0",10,"5",13,"0",10,"2",10,"3",10,"337",10,"192",10,"22",10,"11",10,"394",10,"236",10,"8",10,"43",10,"7",10,"5",10,"5",10,"529",10,"33",10,"630"
"100751","4","3",10,"336",10,"244",10,"148",10,"418",10,"10",10,"17",10,"16",10,"24",10,"27",10,"52",10,"1316",10,"4",10,"5",10,"2091",10,"1858",10,"2850",10,"580",10,"566",10,"27",10,"40",10,"79",10,"1320",10,"2096",10,"4708"
"100760","1","999",13,"0",13,"0",10,"145",10,"595",10,"2",10,"11",10,"5",10,"5",10,"7",10,"12",10,"746",10,"1438",10,"4",10,"2",10,"909",10,"2063",13,"0",10,"740",10,"13",10,"10",10,"19",10,"2184",10,"6",10,"2972"
"100760","2","1",13,"0",13,"0",10,"145",10,"595",10,"2",10,"11",10,"5",10,"5",10,"7",10,"12",10,"746",10,"1438",10,"4",10,"2",10,"909",10,"2063",13,"0",10,"740",10,"13",10,"10",10,"19",10,"2184",10,"6",10,"2972"
"100812","1","999",13,"0",13,"0",10,"144",10,"313",10,"37",10,"71",10,"5",10,"23",10,"15",10,"21",10,"1013",10,"2104",10,"29",10,"65",10,"1243",10,"2597",13,"0",10,"457",10,"108",10,"28",10,"36",10,"3117",10,"94",10,"3840"
"100812","2","1",13,"0",13,"0",10,"144",10,"313",10,"37",10,"71",10,"5",10,"23",10,"15",10,"21",10,"1013",10,"2104",10,"29",10,"65",10,"1243",10,"2597",13,"0",10,"457",10,"108",10,"28",10,"36",10,"3117",10,"94",10,"3840"
"100830","1","999",10,"13",10,"11",10,"547",10,"1759",10,"14",10,"22",10,"51",10,"81",10,"42",10,"56",10,"1594",10,"2376",10,"65",10,"99",10,"2326",10,"4404",10,"24",10,"2306",10,"36",10,"132",10,"98",10,"3970",10,"164",10,"6730"
"100830","2","1",10,"10",10,"9",10,"451",10,"1416",10,"12",10,"17",10,"41",10,"64",10,"34",10,"46",10,"1363",10,"1966",10,"62",10,"85",10,"1973",10,"3603",10,"19",10,"1867",10,"29",10,"105",10,"80",10,"3329",10,"147",10,"5576"
"100830","4","3",10,"3",10,"2",10,"96",10,"343",10,"2",10,"5",10,"10",10,"17",10,"8",10,"10",10,"231",10,"410",10,"3",10,"14",10,"353",10,"801",10,"5",10,"439",10,"7",10,"27",10,"18",10,"641",10,"17",10,"1154"
"100858","1","999",10,"586",10,"358",10,"939",10,"1145",10,"89",10,"52",10,"219",10,"194",10,"198",10,"193",10,"10692",10,"10189",10,"200",10,"149",10,"12923",10,"12280",10,"944",10,"2084",10,"141",10,"413",10,"391",10,"20881",10,"349",10,"25203"
"100858","2","1",10,"98",10,"75",10,"822",10,"895",10,"76",10,"42",10,"179",10,"141",10,"160",10,"152",10,"9126",10,"8427",10,"170",10,"112",10,"10631",10,"9844",10,"173",10,"1717",10,"118",10,"320",10,"312",10,"17553",10,"282",10,"20475"
"100858","3","2",10,"1",10,"3",10,"12",10,"23",10,"2",10,"3",10,"13",10,"24",10,"4",10,"2",10,"281",10,"549",10,"2",10,"7",10,"315",10,"611",10,"4",10,"35",10,"5",10,"37",10,"6",10,"830",10,"9",10,"926"
