UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
100636,1,999,"Z",0,"Z",0,"R",35317,"R",14979,"R",2925,"R",1015,"R",11033,"R",3338,"Z",0,"Z",0,"R",205813,"R",41027,"R",12965,"R",3683,"R",268053,"R",64042,"Z",0,"R",50296,"R",3940,"R",14371,"Z",0,"R",246840,"R",16648,"R",332095
100636,2,  1,"Z",0,"Z",0,"R",35317,"R",14979,"R",2925,"R",1015,"R",11033,"R",3338,"Z",0,"Z",0,"R",205813,"R",41027,"R",12965,"R",3683,"R",268053,"R",64042,"Z",0,"R",50296,"R",3940,"R",14371,"Z",0,"R",246840,"R",16648,"R",332095
100654,1,999,"R",161,"R",146,"R",2721,"R",3372,"R",3,"R",8,"R",5,"R",15,"R",20,"R",18,"R",128,"R",329,"R",2,"R",1,"R",3040,"R",3889,"R",307,"R",6093,"R",11,"R",20,"R",38,"R",457,"R",3,"R",6929
100654,2,  1,"R",72,"R",72,"R",2499,"R",2685,"R",2,"R",5,"R",2,"R",5,"R",9,"R",10,"R",50,"R",67,"Z",0,"R",1,"R",2634,"R",2845,"R",144,"R",5184,"R",7,"R",7,"R",19,"R",117,"R",1,"R",5479
100654,4,  3,"R",89,"R",74,"R",222,"R",687,"R",1,"R",3,"R",3,"R",10,"R",11,"R",8,"R",78,"R",262,"R",2,"Z",0,"R",406,"R",1044,"R",163,"R",909,"R",4,"R",13,"R",19,"R",340,"R",2,"R",1450
100663,1,999,"R",630,"R",470,"R",1382,"R",3628,"R",42,"R",43,"R",345,"R",454,"R",95,"R",164,"R",5327,"R",7047,"R",178,"R",223,"R",7999,"R",12029,"R",1100,"R",5010,"R",85,"R",799,"R",259,"R",12374,"R",401,"R",20028
100663,2,  1,"R",159,"R",167,"R",1174,"R",2904,"R",29,"R",27,"R",220,"R",315,"R",67,"R",115,"R",3654,"R",4376,"R",159,"R",165,"R",5462,"R",8069,"R",326,"R",4078,"R",56,"R",535,"R",182,"R",8030,"R",324,"R",13531
100663,3,  2,"R",1,"Z",0,"R",17,"R",46,"R",4,"R",5,"R",47,"R",57,"R",4,"R",6,"R",462,"R",322,"R",4,"R",7,"R",539,"R",443,"R",1,"R",63,"R",9,"R",104,"R",10,"R",784,"R",11,"R",982
100663,4,  3,"R",470,"R",303,"R",191,"R",678,"R",9,"R",11,"R",78,"R",82,"R",24,"R",43,"R",1211,"R",2349,"R",15,"R",51,"R",1998,"R",3517,"R",773,"R",869,"R",20,"R",160,"R",67,"R",3560,"R",66,"R",5515
100690,1,999,"Z",0,"Z",0,"R",161,"R",220,"Z",0,"Z",0,"R",2,"R",4,"R",9,"R",23,"R",316,"R",252,"R",40,"R",50,"R",528,"R",549,"Z",0,"R",381,"Z",0,"R",6,"R",32,"R",568,"R",90,"R",1077
