UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
100654,1,999,"R",6157,"R",2646,"R",3511,"R",14,"R",3,"R",11,"R",21,"R",10,"R",11,"R",5503,"R",2388,"R",3115,"R",36,"R",9,"R",27,"R",9,"R",6,"R",3,"R",337,"R",136,"R",201,"R",0,"R",0,"R",0,"R",161,"R",51,"R",110,"R",76,"R",43,"R",33
100654,2,  1,"R",4865,"R",2258,"R",2607,"R",11,"R",2,"R",9,"R",10,"R",4,"R",6,"R",4464,"R",2072,"R",2392,"R",26,"R",8,"R",18,"R",8,"R",6,"R",2,"R",172,"R",98,"R",74,"R",0,"R",0,"R",0,"R",139,"R",48,"R",91,"R",35,"R",20,"R",15
100654,4,  3,"R",1292,"R",388,"R",904,"R",3,"R",1,"R",2,"R",11,"R",6,"R",5,"R",1039,"R",316,"R",723,"R",10,"R",1,"R",9,"R",1,"R",0,"R",1,"R",165,"R",38,"R",127,"R",0,"R",0,"R",0,"R",22,"R",3,"R",19,"R",41,"R",23,"R",18
100663,1,999,"R",21554,"R",8383,"R",13171,"R",53,"R",22,"R",31,"R",1096,"R",469,"R",627,"R",4668,"R",1417,"R",3251,"R",666,"R",251,"R",415,"R",15,"R",5,"R",10,"R",13369,"R",5410,"R",7959,"R",695,"R",259,"R",436,"R",239,"R",108,"R",131,"R",753,"R",442,"R",311
100663,2,  1,"R",13440,"R",5552,"R",7888,"R",27,"R",11,"R",16,"R",725,"R",326,"R",399,"R",3484,"R",1108,"R",2376,"R",429,"R",172,"R",257,"R",10,"R",4,"R",6,"R",7868,"R",3512,"R",4356,"R",497,"R",188,"R",309,"R",139,"R",66,"R",73,"R",261,"R",165,"R",96
100663,4,  3,"R",8114,"R",2831,"R",5283,"R",26,"R",11,"R",15,"R",371,"R",143,"R",228,"R",1184,"R",309,"R",875,"R",237,"R",79,"R",158,"R",5,"R",1,"R",4,"R",5501,"R",1898,"R",3603,"R",198,"R",71,"R",127,"R",100,"R",42,"R",58,"R",492,"R",277,"R",215
100690,1,999,"R",830,"R",337,"R",493,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",252,"R",77,"R",175,"R",8,"R",5,"R",3,"R",1,"Z",0,"R",1,"R",203,"R",125,"R",78,"Z",0,"Z",0,"Z",0,"R",364,"R",129,"R",235,"Z",0,"Z",0,"Z",0
100690,2,  1,"R",415,"R",177,"R",238,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",116,"R",43,"R",73,"R",6,"R",4,"R",2,"R",1,"Z",0,"R",1,"R",74,"R",44,"R",30,"Z",0,"Z",0,"Z",0,"R",218,"R",86,"R",132,"Z",0,"Z",0,"Z",0
100690,4,  3,"R",415,"R",160,"R",255,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",136,"R",34,"R",102,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",129,"R",81,"R",48,"Z",0,"Z",0,"Z",0,"R",146,"R",43,"R",103,"Z",0,"Z",0,"Z",0
100706,1,999,"R",9206,"R",5194,"R",4012,"R",111,"R",64,"R",47,"R",362,"R",189,"R",173,"R",1066,"R",456,"R",610,"R",329,"R",172,"R",157,"Z",0,"Z",0,"Z",0,"R",6229,"R",3647,"R",2582,"R",153,"R",72,"R",81,"R",396,"R",213,"R",183,"R",560,"R",381,"R",179
