UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75 
100654,1,2,1,2,3,2,1,1,3,"R",7901,"R",3030,"R",4871,"R",5166,"R",1999,"R",3167,"R",1461,"R",654,"R",807,"R",1451,"R",646,"R",805,"R",10,"R",8,"R",2,"R",136,"R",9,"R",1375,"R",94,"R",383,"R",470,"R",360,"R",480,"R",370,"R",457,"R",16,"R",19,"R",14,"R",20,"R",15,"R",18,"A",,"A",
100663,1,3,1,1,3,3,1,3,3,"R",7672,"R",2686,"R",4986,"R",4636,"R",1710,"R",2926,"R",1621,"R",639,"R",982,"R",1593,"R",625,"R",968,"R",28,"R",14,"R",14,"R",106,"R",7,"R",1497,"R",92,"R",520,"R",630,"R",520,"R",668,"A",,"A",,"R",22,"R",28,"R",22,"R",30,"R",19,"R",26,"A",,"A",
100706,1,2,1,1,3,2,1,1,3,"R",3308,"R",1801,"R",1507,"R",2686,"R",1509,"R",1177,"R",1038,"R",625,"R",413,"R",1027,"R",616,"R",411,"R",11,"R",9,"R",2,"R",183,"R",18,"R",975,"R",94,"R",520,"R",650,"R",550,"R",680,"A",,"A",,"R",24,"R",30,"R",24,"R",32,"R",24,"R",29,"A",,"A",
100724,1,3,2,3,3,3,1,1,3,"R",8356,"R",2914,"R",5442,"R",3876,"R",1246,"R",2630,"R",1021,"R",399,"R",622,"R",1008,"R",394,"R",614,"R",13,"R",5,"R",8,"R",212,"R",21,"R",894,"R",88,"R",370,"R",450,"R",360,"R",460,"A",,"A",,"R",16,"R",19,"R",14,"R",19,"R",15,"R",17,"A",,"A",
100751,1,2,1,1,3,3,1,1,3,"R",36203,"R",13795,"R",22408,"R",19400,"R",7345,"R",12055,"R",7211,"R",3017,"R",4194,"R",7176,"R",3005,"R",4171,"R",35,"R",12,"R",23,"R",1536,"R",21,"R",5599,"R",78,"R",490,"R",600,"R",490,"R",610,"R",480,"R",600,"R",22,"R",31,"R",22,"R",32,"R",21,"R",29,"R",7,"R",8
100830,1,2,1,3,3,3,1,1,3,"R",2494,"R",800,"R",1694,"R",1963,"R",640,"R",1323,"R",620,"R",234,"R",386,"R",568,"R",211,"R",357,"R",52,"R",23,"R",29,"R",21,"R",4,"R",549,"R",94,"R",450,"R",520,"R",470,"R",540,"A",,"A",,"R",19,"R",23,"R",19,"R",25,"R",17,"R",22,"A",,"A",
100858,1,2,1,1,2,3,1,1,3,"R",19414,"R",8386,"R",11028,"R",15077,"R",6522,"R",8555,"R",4902,"R",2304,"R",2598,"R",4855,"R",2279,"R",2576,"R",47,"R",25,"R",22,"R",687,"R",14,"R",4190,"R",85,"R",530,"R",630,"R",540,"R",650,"R",520,"R",620,"R",24,"R",30,"R",25,"R",32,"R",23,"R",28,"R",7,"R",8
100937,1,1,1,3,1,3,1,1,3,"R",3679,"R",1525,"R",2154,"R",1952,"R",873,"R",1079,"R",441,"R",220,"R",221,"R",441,"R",220,"R",221,"A",,"A",,"A",,"R",95,"R",22,"R",405,"R",92,"R",480,"R",590,"R",500,"R",610,"A",,"A",,"R",23,"R",29,"R",23,"R",30,"R",22,"R",28,"A",,"A",
101073,1,2,1,3,2,3,2,1,3,"R",3768,"R",822,"R",2946,"R",1520,"R",311,"R",1190,"R",323,"R",249,"R",74,"R",304,"R",240,"R",64,"R",19,"R",9,"R",10,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101189,1,2,1,3,2,3,1,2,3,"R",1712,"R",748,"R",964,"R",981,"R",459,"R",522,"R",297,"R",176,"R",121,"R",280,"R",169,"R",111,"R",17,"R",7,"R",10,"R",34,"R",11,"R",238,"R",80,"R",430,"R",520,"R",440,"R",510,"R",430,"R",510,"R",18,"R",24,"R",18,"R",24,"R",16,"R",23,"A",,"A",
101365,3,3,1,3,3,3,2,2,1,"R",109,"R",76,"R",33,"R",104,"R",76,"R",28,"R",70,"R",54,"R",16,"R",23,"R",18,"R",5,"R",47,"R",36,"R",11,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,1,2,1,2,2,2,1,2,3,"R",1839,"R",1050,"R",789,"R",1061,"R",582,"R",479,"R",252,"R",148,"R",104,"R",252,"R",148,"R",104,"R",0,"R",0,"R",0,"R",33,"R",13,"R",231,"R",92,"R",440,"R",550,"R",450,"R",568,"A",,"A",,"R",19,"R",23,"R",18,"R",24,"R",16,"R",22,"A",,"A",
101453,3,3,1,3,1,3,1,1,3,"R",10,"R",9,"R",1,"R",7,"R",7,"R",0,"R",7,"R",7,"A",,"R",6,"R",6,"A",,"R",1,"R",1,"A",,"R",2,"R",35,"R",4,"R",57,"R",380,"R",660,"R",400,"R",610,"R",300,"R",560,"R",14,"R",17,"R",11,"R",16,"R",16,"R",17,"R",11,"R",12
101480,1,3,1,3,3,3,1,1,3,"R",3085,"R",1362,"R",1723,"R",2056,"R",920,"R",1136,"R",1049,"R",564,"R",485,"R",1021,"R",546,"R",475,"R",28,"R",18,"R",10,"R",113,"R",10,"R",955,"R",91,"R",450,"R",550,"R",440,"R",550,"A",,"A",,"R",20,"R",26,"R",20,"R",28,"R",18,"R",25,"A",,"A",
101541,1,2,1,2,2,3,1,1,3,"R",329,"Z",0,"R",329,"R",207,"A",,"R",207,"R",65,"A",,"R",65,"R",65,"A",,"R",65,"R",0,"A",,"Z",0,"R",4,"R",6,"R",61,"R",94,"R",480,"R",560,"R",400,"R",660,"A",,"A",,"R",19,"R",25,"R",19,"R",25,"R",17,"R",23,"A",,"A",
101587,2,3,1,2,3,3,1,1,3,"R",1195,"R",562,"R",633,"R",878,"R",398,"R",480,"R",420,"R",209,"R",211,"R",417,"R",207,"R",210,"R",3,"R",2,"R",1,"R",9,"R",2,"R",411,"R",98,"R",430,"R",530,"R",360,"R",560,"R",420,"R",530,"R",18,"R",21,"R",18,"R",22,"R",19,"R",20,"A",,"A",
101648,1,3,1,1,3,3,1,1,3,"R",904,"R",663,"R",241,"R",535,"R",418,"R",117,"R",275,"R",213,"R",62,"R",275,"R",213,"R",62,"A",,"A",,"A",,"R",116,"R",42,"R",214,"R",78,"R",480,"R",580,"R",500,"R",600,"A",,"A",,"R",19,"R",26,"R",18,"R",25,"R",18,"R",26,"A",,"A",
101693,1,2,1,2,3,3,1,1,3,"R",1180,"R",395,"R",785,"R",714,"R",227,"R",487,"R",288,"R",113,"R",175,"R",286,"R",112,"R",174,"R",2,"R",1,"R",1,"R",36,"R",13,"R",260,"R",92,"R",430,"R",540,"R",420,"R",580,"A",,"A",,"R",19,"R",25,"R",19,"R",26,"R",17,"R",24,"A",,"A",
101709,1,2,1,2,3,3,1,1,3,"R",2024,"R",624,"R",1400,"R",1417,"R",417,"R",1000,"R",505,"R",158,"R",347,"R",501,"R",155,"R",346,"R",4,"R",3,"R",1,"R",21,"R",4,"R",478,"R",95,"R",455,"R",595,"R",475,"R",580,"R",470,"R",585,"R",20,"R",26,"R",21,"R",28,"R",18,"R",24,"A",,"A",
101879,1,3,1,2,3,3,1,1,3,"R",3319,"R",1289,"R",2030,"R",1925,"R",774,"R",1151,"R",1173,"R",482,"R",691,"R",1159,"R",476,"R",683,"R",14,"R",6,"R",8,"R",38,"R",3,"R",1133,"R",97,"R",398,"R",560,"R",410,"R",535,"A",,"A",,"R",19,"R",25,"R",20,"R",26,"R",17,"R",24,"A",,"A",
101912,1,3,1,2,2,3,1,2,3,"R",1992,"R",752,"R",1240,"R",946,"R",349,"R",597,"R",338,"R",144,"R",194,"R",338,"R",144,"R",194,"A",,"A",,"A",,"R",170,"R",50,"R",204,"R",60,"R",410,"R",540,"R",380,"R",500,"A",,"A",,"R",17,"R",22,"R",17,"R",23,"R",16,"R",21,"A",,"A",
