UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
100654,1,2,1,2,3,2,1,1,3,"R",7043,"R",2725,"R",4318,"R",6154,"R",2276,"R",3878,"R",1568,"R",652,"R",916,"R",1536,"R",639,"R",897,"R",32,"R",13,"R",19,"R",217,"R",14,"R",1433,"R",91,"R",380,"R",470,"R",370,"R",470,"R",16,"R",19,"R",14,"R",20,"R",15,"R",18
100663,1,3,1,1,3,3,1,3,3,"R",9459,"R",3510,"R",5949,"R",5499,"R",2062,"R",3437,"R",2021,"R",758,"R",1263,"R",1948,"R",730,"R",1218,"R",73,"R",28,"R",45,"R",85,"R",4,"R",1849,"R",92,"R",480,"R",640,"R",490,"R",660,"R",21,"R",28,"R",22,"R",30,"R",19,"R",26
100706,1,2,1,1,3,2,1,1,3,"R",4545,"R",2385,"R",2160,"R",3467,"R",1930,"R",1537,"R",1213,"R",735,"R",478,"R",1203,"R",731,"R",472,"R",10,"R",4,"R",6,"R",166,"R",14,"R",1152,"R",95,"R",520,"R",660,"R",540,"R",680,"R",25,"R",31,"R",24,"R",33,"R",23,"R",29
100724,1,3,2,3,3,3,1,1,3,"R",9053,"R",2967,"R",6086,"R",4155,"R",1293,"R",2862,"R",1172,"R",434,"R",738,"R",1152,"R",428,"R",724,"R",20,"R",6,"R",14,"R",178,"R",15,"R",1042,"R",89,"R",370,"R",460,"R",360,"R",460,"R",15,"R",19,"R",14,"R",19,"R",15,"R",17
100751,1,2,1,1,3,3,1,1,3,"R",38237,"R",14846,"R",23391,"R",20107,"R",7819,"R",12288,"R",7559,"R",3255,"R",4304,"R",7541,"R",3246,"R",4295,"R",18,"R",9,"R",9,"R",1459,"R",19,"R",6062,"R",80,"R",490,"R",610,"R",490,"R",620,"R",23,"R",31,"R",23,"R",33,"R",22,"R",29
100830,1,2,1,3,3,3,1,1,3,"R",2905,"R",1021,"R",1884,"R",2225,"R",786,"R",1439,"R",594,"R",226,"R",368,"R",558,"R",212,"R",346,"R",36,"R",14,"R",22,"R",11,"R",2,"R",547,"R",92,"R",435,"R",495,"R",445,"R",495,"R",19,"R",24,"R",19,"R",24,"R",17,"R",22
100858,1,2,1,1,2,3,1,1,3,"R",18256,"R",7886,"R",10370,"R",14704,"R",6314,"R",8390,"R",4529,"R",2147,"R",2382,"R",4487,"R",2129,"R",2358,"R",42,"R",18,"R",24,"R",552,"R",12,"R",3930,"R",87,"R",530,"R",620,"R",530,"R",640,"R",24,"R",30,"R",25,"R",32,"R",23,"R",28
100937,1,1,1,3,1,3,1,1,3,"R",3722,"R",1525,"R",2197,"R",1801,"R",818,"R",983,"R",328,"R",166,"R",162,"R",328,"R",166,"R",162,"A",,"A",,"A",,"R",69,"R",21,"R",297,"R",91,"R",500,"R",610,"R",490,"R",570,"R",23,"R",28,"R",22,"R",29,"R",22,"R",26
101073,1,2,1,3,2,3,2,1,3,"R",639,"R",278,"R",361,"R",151,"R",87,"R",64,"R",102,"R",64,"R",38,"R",83,"R",53,"R",30,"R",19,"R",11,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101189,1,2,1,3,2,3,1,2,3,"R",2446,"R",980,"R",1466,"R",1110,"R",474,"R",636,"R",312,"R",168,"R",144,"R",297,"R",160,"R",137,"R",15,"R",8,"R",7,"R",18,"R",6,"R",263,"R",94,"R",430,"R",570,"R",450,"R",550,"R",18,"R",23,"R",16,"R",24,"R",16,"R",22
101365,3,3,1,3,3,3,2,2,1,"R",79,"R",29,"R",50,"R",77,"R",29,"R",48,"R",65,"R",26,"R",39,"R",10,"R",2,"R",8,"R",55,"R",24,"R",31,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,1,2,1,2,2,2,1,2,3,"R",1716,"R",1053,"R",663,"R",974,"R",575,"R",399,"R",277,"R",171,"R",106,"R",277,"R",171,"R",106,"R",0,"R",0,"R",0,"R",43,"R",16,"R",263,"R",95,"R",420,"R",525,"R",425,"R",525,"R",19,"R",24,"R",18,"R",24,"R",17,"R",23
101453,3,3,1,3,1,3,1,1,3,"R",3,"R",2,"R",1,"R",1,"R",1,"R",0,"R",1,"R",1,"A",,"R",1,"R",1,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"R",1,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
