UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT  
100636,1,1,-2,0,0,0,1,1,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",0,"A",.,"A",.,1,1,2,-2,1,1,2,-2,2,1,"R",10000,1,"R",21,"R",0,"R",0,"R",0,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100654,1,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,2,1,2,3,2,1,1,3,2,"R",2507,"R",3963,"R",799,"R",1260,"R",407,"R",475,"R",1,"R",2,2,"R",0,"R",0,"R",721,"R",82,"A",.,"A",.,"A",.,"A",.,"B",.,"B",.,"R",16,"R",19,"R",15,"R",20,"R",16,"R",18,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,-2,1,"R",10,"R",40,"A",.,1,1,1,2,1,1,1,2,1,1,"R",2843,1,"R",21,"R",2756,"R",2014,"A",.,2,"R",408,"R",477,"R",885,"R",6470,"R",2059,"R",882,"R",3
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,1,1,0,0,2,1,3,1,2,3,3,1,3,3,1,"R",1674,"R",2547,"R",1489,"R",2216,"R",590,"R",897,"R",22,"R",22,2,"R",128,"R",9,"R",1278,"R",90,"R",470,"R",620,"R",500,"R",650,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",19,"R",25,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,-2,1,"R",30,"R",35,"R",75,1,1,1,1,1,1,1,2,1,1,"R",2150,2,"A",.,"R",4030,"R",3650,"A",.,2,"R",612,"R",919,"R",1531,"R",4221,"R",3705,"R",1487,"R",44
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",50,"R",50,"R",50,1,1,1,1,1,1,1,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100706,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,1,0,0,0,2,1,3,1,2,3,3,1,1,3,2,"R",921,"R",929,"R",845,"R",783,"R",402,"R",357,"R",22,"R",19,2,"R",195,"R",24,"R",730,"R",91,"R",490,"R",610,"R",490,"R",620,"B",.,"B",.,"R",22,"R",27,"R",20,"R",28,"R",21,"R",26,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,-2,1,"R",30,"R",40,"A",.,1,1,1,2,1,1,1,2,1,1,"R",1330,2,"A",.,"R",4340,"R",1950,"A",.,2,"R",424,"R",376,"R",800,"R",1850,"R",1628,"R",759,"R",41
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,3,1,2,3,3,2,1,4,1,"R",7353,"R",5083,"R",3214,"R",1958,"R",584,"R",767,"R",5,"R",10,2,"R",226,"R",17,"R",554,"R",48,"R",350,"R",460,"R",340,"R",440,"B",.,"B",.,"R",14,"R",18,"R",13,"R",18,"R",15,"R",17,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,1,"Z",0,"R",10,"A",.,1,1,1,2,1,1,1,2,1,1,"R",2083,1,"R",19,"R",2180,"R",1970,"A",.,2,"R",589,"R",777,"R",1366,"R",12436,"R",5172,"R",1351,"R",15
100733,1,1,1,1,0,0,1,2,0,-2,1,1,1,0,1,1,1,1,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,1,1,0,0,2,1,2,1,2,3,3,1,1,3,2,"R",6185,"R",8128,"R",3908,"R",5232,"R",2017,"R",2476,"R",25,"R",20,2,"R",1593,"R",35,"R",3898,"R",86,"R",490,"R",610,"R",500,"R",620,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",20,"R",26,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,-2,1,"R",35,"R",35,"R",40,1,1,1,1,1,1,1,1,1,1,"R",6500,2,"A",.,"R",3750,"R",2118,"A",.,1,"R",2042,"R",2496,"R",4538,"R",14313,"R",9140,"R",4493,"R",45
100760,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",0,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",30,"A",.,"A",.,1,2,2,2,1,2,2,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
