UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4 
100636,1,1,-2,0,0,0,1,1,0,-2,0,0,1,1,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",0,"A",.,"A",.,1,1,2,-2,1,1,2,-2,2,1,"R",20000,2,"A",.,"A",.,"A",.,"R",0,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0
100654,1,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,-2,-2,-2,2,1,2,1,2,3,2,1,1,3,2,"R",1664,"R",2297,"R",837,"R",1104,"R",476,"R",568,"R",0,"R",2,2,"R",0,"R",0,"R",868,"R",83,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16,"R",20,"R",15,"R",20,"R",15,"R",19,"B",.,"B",.,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,-2,1,"R",25,"R",40,"A",.,1,1,1,2,1,1,1,2,1,2,"A",.,2,"A",.,"A",.,"R",2014,"A",.,2,"R",476,"R",570,"R",1048,"R",3961,"R",1941,"R",1046,"R",2,1,0,0,1,0
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,1,1,0,0,-2,-2,-2,2,1,3,1,1,3,3,1,3,3,2,"R",2091,"R",3015,"R",1766,"R",2579,"R",813,"R",1122,"R",85,"R",193,2,"R",90,"R",7,"R",1185,"R",93,"R",520,"R",620,"R",520,"R",640,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",18,"R",27,"B",.,"B",.,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,-2,1,"R",30,"R",35,"R",75,1,1,1,1,1,1,1,2,1,1,"R",2075,2,"A",.,"R",4170,"R",3650,"A",.,2,"R",898,"R",1315,"R",2213,"R",5106,"R",4345,"R",1935,"R",278,1,0,1,0,0
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,1,1,0,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",75,"R",75,"R",75,1,1,1,1,1,1,1,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0
100706,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,1,0,0,0,-2,-2,-2,2,1,2,1,1,3,3,1,1,3,2,"R",948,"R",926,"R",860,"R",811,"R",416,"R",348,"R",18,"R",14,2,"R",191,"R",24,"R",723,"R",91,"R",480,"R",620,"R",500,"R",630,"B",.,"B",.,"R",22,"R",27,"R",21,"R",28,"R",20,"R",27,"B",.,"B",.,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,-2,1,"R",30,"R",40,"A",.,1,1,1,2,1,1,1,2,1,1,"R",1215,2,"A",.,"R",4290,"R",1950,"A",.,2,"R",434,"R",362,"R",796,"R",1874,"R",1671,"R",764,"R",32,1,0,0,1,1
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,-2,-2,-2,0,1,1,0,2,1,3,1,2,3,3,2,1,4,1,"R",4627,"R",6682,"R",1846,"R",2935,"R",583,"R",768,"R",5,"R",10,1,"R",282,"R",21,"R",1105,"R",81,"R",340,"R",440,"R",340,"R",420,"B",.,"B",.,"R",14,"R",17,"R",11,"R",17,"R",13,"R",16,"B",.,"B",.,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,1,"R",25,"R",10,"A",.,1,1,1,-2,1,1,1,-2,1,1,"R",2097,1,"R",19,"R",2430,"R",1970,"A",.,2,"R",588,"R",778,"R",1366,"R",11309,"R",4781,"R",1351,"R",15,2,0,0,0,0
100733,1,1,1,1,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,1,1,0,0,-2,-2,-2,2,1,2,1,2,3,3,1,1,3,2,"R",8160,"R",10340,"R",4782,"R",6390,"R",2255,"R",2785,"R",45,"R",31,2,"R",1720,"R",34,"R",4439,"R",87,"R",490,"R",600,"R",490,"R",610,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",19,"R",26,"B",.,"B",.,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,-2,1,"R",35,"R",35,"R",40,1,1,1,1,1,1,1,1,1,1,"R",7018,2,"A",.,"R",4100,"R",2330,"A",.,1,"R",2300,"R",2816,"R",5116,"R",18500,"R",11172,"R",5040,"R",76,1,0,0,1,0
100760,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"A",.,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,0
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",30,"A",.,"B",.,1,2,2,-2,1,2,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1
