UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FT_GD,PT_UG,PT_FTUG,PT_GD,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT
100636,1,1,-2,0,0,0,1,1,0,-2,0,0,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,2,1,"R",10000,1,"R",21,"A",.,"A",.,"R",0,1,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.
100654,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,0,0,2,1,2,1,2,3,2,1,1,3,2,"R",2557,"R",3429,"R",1264,"R",1806,"R",544,"R",569,"R",4,"R",6,2,"R",152,"R",14,"R",946,"R",84,"R",380,"R",470,"R",370,"R",470,"R",370,"R",450,"R",16,"R",19,"R",15,"R",20,"R",15,"R",18,"B",.,"B",.,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,1,"R",30,"R",45,1,1,1,1,1,1,1,1,"R",448,1,"R",21,"R",4000,"R",2260,"A",.,2,"R",548,"R",575,"R",1123,"R",5986,"R",3070,"R",1113,"R",10,1,0,0,1,0,1,"A",.
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,0,1,1,0,2,1,3,1,1,3,3,1,3,3,2,"R",1952,"R",2715,"R",1635,"R",2212,"R",689,"R",853,"R",10,"R",19,2,"R",67,"R",4,"R",1494,"R",95,"R",490,"R",680,"R",510,"R",690,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",19,"R",26,"B",.,"B",.,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,1,"R",30,"R",45,1,1,1,1,1,1,1,1,"R",2150,2,"A",.,"R",5000,"R",3810,"A",.,2,"R",699,"R",872,"R",1571,"R",4667,"R",3847,"R",1542,"R",29,1,0,0,1,0,1,"A",.
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,1,1,0,2,1,3,1,3,3,1,3,1,2,2,"R",5,"R",2,"R",3,"R",2,"R",3,"R",1,"Z",0,"R",1,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",75,"R",75,1,1,1,1,1,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",3,"R",2,"R",5,"R",7,"R",5,"R",4,"R",1,2,0,0,0,0,1,"A",.
100706,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,1,0,2,1,2,1,1,3,3,1,1,3,2,"R",958,"R",888,"R",672,"R",549,"R",350,"R",250,"R",16,"R",6,2,"R",113,"R",18,"R",575,"R",92,"R",510,"R",630,"R",510,"R",655,"B",.,"B",.,"R",22,"R",29,"R",22,"R",30,"R",21,"R",28,"B",.,"B",.,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,1,"R",30,"R",40,1,1,1,1,1,1,1,1,"R",1680,2,"A",.,"R",5290,"R",2250,"A",.,2,"R",366,"R",256,"R",622,"R",1846,"R",1221,"R",600,"R",22,1,0,0,1,0,1,"A",.
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,3,1,2,3,3,2,1,4,1,"R",2638,"R",4169,"R",1372,"R",2220,"R",513,"R",696,"R",5,"R",7,1,"R",255,"R",26,"R",995,"R",87,"R",360,"R",440,"R",320,"R",420,"B",.,"B",.,"R",13,"R",17,"R",12,"R",16,"R",14,"R",16,"B",.,"B",.,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,1,"R",25,"R",25,1,1,1,1,1,1,1,1,"R",2150,1,"R",19,"R",2440,"R",1970,"A",.,2,"R",518,"R",703,"R",1221,"R",8229,"R",3598,"R",1209,"R",12,2,0,0,0,0,1,"A",.
100733,1,1,1,1,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,"A",.
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,2,1,1,3,3,1,1,3,2,"R",8761,"R",11351,"R",4663,"R",6113,"R",2490,"R",3039,"R",17,"R",17,2,"R",1068,"R",19,"R",4316,"R",78,"R",490,"R",620,"R",500,"R",620,"R",480,"R",600,"R",22,"R",29,"R",22,"R",30,"R",20,"R",27,"R",6,"R",8,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,1,"R",40,"R",50,1,1,1,1,1,1,1,1,"R",7860,2,"A",.,"R",4700,"R",3514,"A",.,1,"R",2507,"R",3056,"R",5563,"R",20112,"R",10776,"R",5529,"R",34,1,0,0,1,0,2,"R",4
100760,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"B",.,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,0,1,"A",.
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",30,"A",.,1,2,2,1,2,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,1,0,1,"A",.
