UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FT_GD,PT_UG,PT_FTUG,PT_GD,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT,DISTNCED
100636,1,1,-2,0,0,0,1,1,0,-2,0,0,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,2,1,"R",20000,1,"R",21,"A",.,"A",.,"R",0,1,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.,2
100654,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,0,0,1,0,0,2,1,2,1,2,3,2,1,1,3,2,"R",2847,"R",4309,"R",1442,"R",2143,"R",421,"R",435,"R",5,"R",11,2,"R",96,"R",12,"R",783,"R",90,"R",370,"R",450,"R",360,"R",450,"R",370,"R",440,"R",16,"R",19,"R",14,"R",19,"R",15,"R",18,"B",.,"B",.,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,1,"R",30,"R",45,1,1,1,1,1,1,1,1,"R",448,1,"R",21,"R",4200,"R",2780,"A",.,2,"R",426,"R",446,"R",872,"R",7156,"R",3585,"R",856,"R",16,1,0,0,1,0,1,"A",.,2
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,0,1,1,1,2,1,3,1,1,3,3,1,3,3,2,"R",2307,"R",3268,"R",1692,"R",2335,"R",687,"R",891,"R",15,"R",12,2,"R",79,"R",5,"R",1500,"R",93,"R",500,"R",630,"R",500,"R",640,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",20,"R",26,"B",.,"B",.,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,1,"R",30,"R",45,1,1,1,1,1,1,1,1,"R",2150,2,"A",.,"R",5400,"R",3894,"A",.,2,"R",702,"R",903,"R",1605,"R",5575,"R",4027,"R",1578,"R",27,1,0,0,1,0,1,"A",.,2
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",75,"R",75,1,1,1,1,1,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.,2
100706,0,1,1,1,1,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,1,0,2,1,2,1,1,3,2,1,1,3,2,"R",1100,"R",852,"R",719,"R",524,"R",384,"R",268,"R",16,"R",9,2,"R",126,"R",19,"R",623,"R",92,"R",500,"R",630,"R",520,"R",670,"B",.,"B",.,"R",22,"R",29,"R",22,"R",30,"R",21,"R",28,"B",.,"B",.,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,1,"R",30,"R",40,1,1,1,1,1,1,1,1,"R",1680,2,"A",.,"R",5480,"R",2450,"A",.,2,"R",400,"R",277,"R",677,"R",1952,"R",1243,"R",652,"R",25,1,0,0,1,0,1,"A",.,2
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,2,3,2,3,3,3,1,1,3,1,"R",2823,"R",4335,"R",1363,"R",2273,"R",493,"R",597,"R",5,"R",6,1,"R",134,"R",12,"R",940,"R",85,"R",360,"R",450,"R",350,"R",450,"B",.,"B",.,"R",14,"R",18,"R",13,"R",18,"R",14,"R",16,"B",.,"B",.,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,1,"R",25,"R",25,1,1,1,1,1,1,1,1,"R",2092,1,"R",19,"R",2846,"R",2020,"A",.,2,"R",498,"R",603,"R",1101,"R",7158,"R",3636,"R",1090,"R",11,1,0,0,0,1,1,"A",.,2
100733,1,1,1,1,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,"A",.,-2
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,2,1,1,3,3,1,1,3,2,"R",9608,"R",12528,"R",4249,"R",5387,"R",2568,"R",3170,"R",12,"R",16,2,"R",1200,"R",21,"R",4447,"R",77,"R",500,"R",620,"R",500,"R",640,"R",490,"R",620,"R",22,"R",29,"R",22,"R",31,"R",20,"R",27,"R",6,"R",8,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,1,"R",40,"R",50,1,1,1,1,1,1,1,1,"R",7733,2,"A",.,"R",5050,"R",3514,"A",.,2,"R",2580,"R",3186,"R",5766,"R",22136,"R",9636,"R",5738,"R",28,1,0,0,1,0,2,"R",4,2
100760,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"B",.,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,0,1,"A",.,2
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",30,"A",.,1,2,2,1,2,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,1,0,1,"A",.,2
100830,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,0,0,0,2,2,2,3,3,3,3,2,1,3,2,"R",785,"R",1380,"R",649,"R",1060,"R",282,"R",427,"R",44,"R",60,2,"R",0,"R",0,"R",771,"R",84,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",18,"R",23,"R",17,"R",22,"R",16,"R",21,"B",.,"B",.,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,334,1,334,2,-2,1,"R",25,"R",25,1,1,1,1,1,1,1,1,"R",800,2,"A",.,"R",3970,"R",1200,"A",.,2,"R",326,"R",487,"R",813,"R",2165,"R",1709,"R",709,"R",104,2,0,0,0,0,1,"A",.,2
100858,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,1,1,2,1,2,1,1,2,3,1,1,3,2,"R",8436,"R",9887,"R",5913,"R",6914,"R",2011,"R",2159,"R",20,"R",12,2,"R",850,"R",20,"R",3352,"R",80,"R",500,"R",600,"R",520,"R",620,"R",490,"R",590,"R",24,"R",30,"R",24,"R",32,"R",23,"R",28,"R",7,"R",8,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,1,"R",50,"R",50,1,1,1,1,1,1,1,1,"R",4039,2,"A",.,"R",5030,"R",4962,"A",.,2,"R",2031,"R",2171,"R",4202,"R",18323,"R",12827,"R",4170,"R",32,1,0,0,1,0,1,"A",.,2
