UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT,DISTNCED,DSTNCED1,DSTNCED2,DSTNCED3
100654,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,0,0,1,0,0,2,1,2,1,2,3,2,1,1,3,2,"R",2401,"R",3741,"R",2100,"R",3421,"R",533,"R",556,"R",9,"R",6,2,"R",167,"R",15,"R",968,"R",88,"R",370,"R",450,"R",350,"R",450,"B",.,"B",.,"R",15,"R",19,"R",14,"R",19,"R",15,"R",18,"B",.,"B",.,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,1,"R",30,"R",45,1,1,1,1,1,1,-2,-2,1,1,"R",448,1,"R",21,"R",7346,"R",2773,"A",.,2,"R",542,"R",562,"R",1104,"R",6142,"R",5521,"R",1089,"R",15,1,0,0,1,0,1,"A",.,2 ,1 ,1 ,0
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,0,1,1,1,2,1,3,1,1,3,3,1,3,3,2,"R",2214,"R",3475,"R",1944,"R",2990,"R",697,"R",1035,"R",20,"R",21,2,"R",103,"R",6,"R",1645,"R",93,"R",520,"R",640,"R",520,"R",650,"B",.,"B",.,"R",22,"R",28,"R",22,"R",29,"R",20,"R",26,"B",.,"B",.,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,1,"R",30,"R",45,1,1,1,1,1,1,1,1,1,1,"R",2200,2,"A",.,"R",5600,"R",3980,"A",.,2,"R",717,"R",1056,"R",1773,"R",5689,"R",4934,"R",1732,"R",41,1,0,0,1,0,1,"A",.,2 ,1 ,1 ,0
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",50,"R",50,1,1,1,1,1,1,1,2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,0,0,0,1,"A",.,2 ,1 ,1 ,0
100706,0,1,0,1,1,0,1,2,0,-2,1,0,0,0,1,1,1,1,0,1,1,0,2,1,2,1,1,3,2,1,1,3,2,"R",1183,"R",871,"R",975,"R",681,"R",387,"R",251,"R",9,"R",4,2,"R",118,"R",34,"R",610,"R",94,"R",510,"R",640,"R",510,"R",650,"B",.,"B",.,"R",23,"R",29,"R",22,"R",30,"R",22,"R",28,"B",.,"B",.,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,1,"R",30,"R",40,1,1,1,1,1,1,1,2,1,1,"R",1680,2,"A",.,"R",5753,"R",2680,"A",.,2,"R",396,"R",255,"R",651,"R",2054,"R",1656,"R",638,"R",13,1,0,0,1,0,1,"A",.,2 ,1 ,1 ,0
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,2,3,2,3,3,3,1,1,3,1,"R",3808,"R",6436,"R",1813,"R",3438,"R",596,"R",840,"R",24,"R",19,1,"R",269,"R",18,"R",1285,"R",87,"R",380,"R",480,"R",370,"R",480,"B",.,"B",.,"R",15,"R",19,"R",14,"R",20,"R",15,"R",18,"B",.,"B",.,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,1,"R",25,"R",25,1,1,1,1,1,1,1,2,1,1,"R",2251,1,"R",19,"A",.,"A",.,"R",5422,2,"R",620,"R",859,"R",1479,"R",10245,"R",5251,"R",1436,"R",43,1,0,0,1,0,1,"A",.,2 ,1 ,1 ,0
100733,1,1,1,1,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,"A",.,-2 ,-2 ,-2 ,-2
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,2,1,1,3,3,1,1,3,2,"R",12615,"R",18360,"R",7069,"R",10446,"R",2820,"R",3608,"R",10,"R",16,2,"R",1469,"R",23,"R",4883,"R",76,"R",490,"R",620,"R",500,"R",640,"R",480,"R",600,"R",22,"R",30,"R",22,"R",32,"R",21,"R",28,"R",6,"R",8,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,1,"R",40,"R",50,1,1,1,1,1,1,1,1,1,1,"R",9198,2,"A",.,"R",5600,"R",3156,"A",.,2,"R",2830,"R",3624,"R",6454,"R",30975,"R",17515,"R",6428,"R",26,1,0,0,1,0,2,"R",4,2 ,1 ,1 ,0
100760,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"B",.,"A",.,1,1,2,1,1,2,-2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,0,1,"A",.,2 ,1 ,0 ,0
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",30,"A",.,1,2,2,1,2,2,-2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,1,0,1,"A",.,2 ,1 ,0 ,0
100830,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,0,0,2,2,2,3,3,3,3,2,1,3,2,"R",685,"R",1273,"R",587,"R",1052,"R",195,"R",324,"R",26,"R",34,2,"R",0,"R",0,"R",358,"R",54,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",18,"R",23,"R",18,"R",23,"R",17,"R",23,"B",.,"B",.,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,334,1,334,1,334,1,"R",25,"R",25,1,1,1,1,1,1,-2,-2,1,1,"R",997,1,"R",19,"R",4090,"R",1200,"A",.,2,"R",221,"R",358,"R",579,"R",1958,"R",1639,"R",519,"R",60,1,0,0,1,0,1,"A",.,2 ,1 ,1 ,0
